date,sym,price,size,qualifier,extime
2014-02-13,RIO.AX,67.79,51,XT,15:38:07.125
2014-02-13,RIO.AX,67.79,3,,15:38:07.125
2014-02-13,RIO.AX,67.79,67,,15:38:07.125
2014-02-13,RIO.AX,67.79,116,,15:38:07.437
2014-02-13,RIO.AX,67.79,66,,15:38:07.437
2014-02-13,RIO.AX,67.79,37,,15:38:07.437
2014-02-13,RIO.AX,67.79,28,,15:38:07.437
2014-02-13,RIO.AX,67.79,236,,15:38:07.437
2014-02-13,RIO.AX,67.79,1,XT,15:38:07.437
2014-02-13,RIO.AX,67.8,69,,15:38:07.437
2014-02-13,RIO.AX,67.8,1,,15:38:07.437
2014-02-13,RIO.AX,67.81,69,,15:38:07.437
2014-02-13,RIO.AX,67.83,69,,15:38:09.777
2014-02-13,RIO.AX,67.83,61,,15:38:09.777
2014-02-13,RIO.AX,67.82,140,,15:38:11.711
2014-02-13,RIO.AX,67.82,69,,15:38:11.711
2014-02-13,RIO.AX,67.82,35,,15:38:11.711
2014-02-13,RIO.AX,67.82,169,,15:38:11.711
2014-02-13,RIO.AX,67.82,69,,15:38:11.711
2014-02-13,RIO.AX,67.82,1,,15:38:11.711
2014-02-13,RIO.AX,67.82,140,,15:38:12.709
2014-02-13,RIO.AX,67.82,69,,15:38:12.709
2014-02-13,RIO.AX,67.82,35,,15:38:12.709
2014-02-13,RIO.AX,67.83,69,,15:38:15.455
2014-02-13,RIO.AX,67.83,1,,15:38:15.455
2014-02-13,RIO.AX,67.83,69,,15:38:15.455
2014-02-13,RIO.AX,67.83,123,,15:38:15.455
2014-02-13,RIO.AX,67.83,10,,15:38:15.455
2014-02-13,RIO.AX,67.83,140,,15:38:15.455
2014-02-13,RIO.AX,67.84,69,,15:38:20.042
2014-02-13,RIO.AX,67.84,5,,15:38:20.042
2014-02-13,RIO.AX,67.84,123,,15:38:20.042
2014-02-13,RIO.AX,67.84,72,,15:38:20.042
2014-02-13,RIO.AX,67.84,188,,15:38:20.073
2014-02-13,RIO.AX,67.84,69,,15:38:20.073
2014-02-13,RIO.AX,67.84,35,,15:38:20.073
2014-02-13,RIO.AX,67.84,140,,15:38:20.073
2014-02-13,RIO.AX,67.83,66,NXXT,15:38:20.104
2014-02-13,RIO.AX,67.83,5,,15:38:20.135
2014-02-13,RIO.AX,67.84,46,,15:38:20.135
2014-02-13,RIO.AX,67.84,70,,15:38:28.247
2014-02-13,RIO.AX,67.84,12,,15:38:29.558
2014-02-13,RIO.AX,67.84,72,,15:38:29.558
2014-02-13,RIO.AX,67.84,1,,15:38:29.558
2014-02-13,RIO.AX,67.85,69,,15:38:29.558
2014-02-13,RIO.AX,67.85,69,,15:38:29.558
2014-02-13,RIO.AX,67.85,1,,15:38:29.558
2014-02-13,RIO.AX,67.85,13,,15:38:29.558
